fecha;riesgo_pais
31/05/2024;1312
30/05/2024;1312
29/05/2024;1376
28/05/2024;1416
27/05/2024;1443
24/05/2024;1443
23/05/2024;1433
22/05/2024;1394
21/05/2024;1298
20/05/2024;1258
17/05/2024;1263
16/05/2024;1254
15/05/2024;1235
14/05/2024;1244
13/05/2024;1248
10/05/2024;1272
09/05/2024;1263
08/05/2024;1234
07/05/2024;1219
06/05/2024;1229
03/05/2024;1243
02/05/2024;1236
01/05/2024;1224
30/04/2024;1216
29/04/2024;1208
26/04/2024;1210
25/04/2024;1234
24/04/2024;1205
23/04/2024;1174
22/04/2024;1148
19/04/2024;1216
18/04/2024;1242
17/04/2024;1270
16/04/2024;1381
15/04/2024;1375
12/04/2024;1331
11/04/2024;1290
10/04/2024;1276
09/04/2024;1220
08/04/2024;1205
05/04/2024;1302
04/04/2024;1359
03/04/2024;1419
02/04/2024;1439
01/04/2024;1439
29/03/2024;1439
28/03/2024;1439
27/03/2024;1442
26/03/2024;1430
25/03/2024;1421
22/03/2024;1432
21/03/2024;1460
20/03/2024;1498
19/03/2024;1535
18/03/2024;1581
15/03/2024;1603
14/03/2024;1648
13/03/2024;1596
12/03/2024;1645
11/03/2024;1713
08/03/2024;1690
07/03/2024;1643
06/03/2024;1621
05/03/2024;1617
04/03/2024;1590
01/03/2024;1635
29/02/2024;1705
28/02/2024;1730
27/02/2024;1753
26/02/2024;1709
23/02/2024;1686
22/02/2024;1710
21/02/2024;1786
20/02/2024;1762
19/02/2024;1788
16/02/2024;1788
15/02/2024;1895
14/02/2024;1930
13/02/2024;2032
12/02/2024;1993
09/02/2024;1993
08/02/2024;1956
07/02/2024;1928
06/02/2024;1832
05/02/2024;1869
02/02/2024;1919
01/02/2024;1959
31/01/2024;1950
30/01/2024;1936
29/01/2024;1888
26/01/2024;1856
25/01/2024;1870
24/01/2024;1897
23/01/2024;1892
22/01/2024;1935
19/01/2024;1971
18/01/2024;1966
17/01/2024;1948
16/01/2024;1920
15/01/2024;1905
12/01/2024;1904
11/01/2024;1926
10/01/2024;1985
09/01/2024;2102
08/01/2024;2049
05/01/2024;1998
04/01/2024;2018
03/01/2024;1986
02/01/2024;1938
01/01/2024;1906
29/12/2023;1906
28/12/2023;1892
27/12/2023;1894
26/12/2023;1866
25/12/2023;1864
22/12/2023;1864
21/12/2023;1860
20/12/2023;1872
19/12/2023;1853
18/12/2023;1844
15/12/2023;1854
14/12/2023;1828
13/12/2023;1815
12/12/2023;1879
11/12/2023;1935
08/12/2023;1920
07/12/2023;1896
06/12/2023;1896
05/12/2023;1937
04/12/2023;1950
01/12/2023;1982
30/11/2023;1982
29/11/2023;2020
28/11/2023;2054
27/11/2023;2006
24/11/2023;1961
23/11/2023;2125
22/11/2023;2124
21/11/2023;2175
20/11/2023;2243
17/11/2023;2412
16/11/2023;2397
15/11/2023;2452
14/11/2023;2497
13/11/2023;2495
10/11/2023;2475
09/11/2023;2466
08/11/2023;2458
07/11/2023;2525
06/11/2023;2525
03/11/2023;2525
02/11/2023;2546
01/11/2023;2601
31/10/2023;2577
30/10/2023;2583
27/10/2023;2560
26/10/2023;2531
25/10/2023;2475
24/10/2023;2496
23/10/2023;2611
20/10/2023;2412
19/10/2023;2403
18/10/2023;2390
17/10/2023;2375
16/10/2023;2506
13/10/2023;2506
12/10/2023;2510
11/10/2023;2523
10/10/2023;2622
09/10/2023;2674
06/10/2023;2675
05/10/2023;2719
04/10/2023;2698
03/10/2023;2637
02/10/2023;2600
29/09/2023;2543
28/09/2023;2486
27/09/2023;2399
26/09/2023;2385
25/09/2023;2368
22/09/2023;2371
21/09/2023;2375
20/09/2023;2265
19/09/2023;2194
18/09/2023;2170
15/09/2023;2169
14/09/2023;2156
13/09/2023;2168
12/09/2023;2176
11/09/2023;2170
08/09/2023;2155
07/09/2023;2131
06/09/2023;2178
05/09/2023;2136
04/09/2023;2091
01/09/2023;2090
31/08/2023;2105
30/08/2023;2094
29/08/2023;2052
28/08/2023;2041
25/08/2023;2050
24/08/2023;2050
23/08/2023;2035
22/08/2023;2049
21/08/2023;2128
18/08/2023;2128
17/08/2023;2185
16/08/2023;2187
15/08/2023;2172
14/08/2023;1914
11/08/2023;1915
10/08/2023;1911
09/08/2023;1975
08/08/2023;2010
07/08/2023;2020
04/08/2023;2020
03/08/2023;2024
02/08/2023;2011
01/08/2023;1990
31/07/2023;1980
28/07/2023;1960
27/07/2023;2017
26/07/2023;1991
25/07/2023;1951
24/07/2023;1960
21/07/2023;2021
20/07/2023;2038
19/07/2023;2064
18/07/2023;2023
17/07/2023;2042
14/07/2023;2112
13/07/2023;2038
12/07/2023;2005
11/07/2023;1981
10/07/2023;2044
07/07/2023;2103
06/07/2023;2053
05/07/2023;1941
30/06/2023;2037
29/06/2023;2061
28/06/2023;2098
27/06/2023;2120
26/06/2023;2095
23/06/2023;2232
22/06/2023;2216
21/06/2023;2307
20/06/2023;2356
19/06/2023;2371
16/06/2023;2371
15/06/2023;2359
14/06/2023;2330
13/06/2023;2311
12/06/2023;2345
09/06/2023;2378
08/06/2023;2388
07/06/2023;2341
06/06/2023;2396
05/06/2023;2518
02/06/2023;2561
01/06/2023;2616
31/05/2023;2590
30/05/2023;2590
29/05/2023;2590
26/05/2023;2590
25/05/2023;2590
24/05/2023;2590
23/05/2023;2577
22/05/2023;2578
19/05/2023;2600
18/05/2023;2594
17/05/2023;2550
16/05/2023;2580
15/05/2023;2587
12/05/2023;2584
11/05/2023;2523
10/05/2023;2507
09/05/2023;2524
08/05/2023;2577
05/05/2023;2576
04/05/2023;2582
03/05/2023;2623
02/05/2023;2647
01/05/2023;2662
28/04/2023;2656
27/04/2023;2657
26/04/2023;2640
25/04/2023;2648
24/04/2023;2624
21/04/2023;2622
20/04/2023;2660
19/04/2023;2661
18/04/2023;2474
17/04/2023;2407
14/04/2023;2352
13/04/2023;2376
12/04/2023;2385
11/04/2023;2440
10/04/2023;2429
07/04/2023;2472
06/04/2023;2472
05/04/2023;2432
04/04/2023;2351
03/04/2023;2280
31/03/2023;2276
30/03/2023;2304
29/03/2023;2365
28/03/2023;2521
27/03/2023;2531
24/03/2023;2549
23/03/2023;2497
22/03/2023;2458
21/03/2023;2335
20/03/2023;2383
17/03/2023;2383
16/03/2023;2324
15/03/2023;2397
14/03/2023;2293
13/03/2023;2323
10/03/2023;2207
09/03/2023;2134
08/03/2023;2098
07/03/2023;2044
06/03/2023;2047
03/03/2023;2081
02/03/2023;2088
01/03/2023;2036
28/02/2023;1965
27/02/2023;1966
24/02/2023;1996
23/02/2023;1974
22/02/2023;2127
21/02/2023;2183
20/02/2023;2123
17/02/2023;2123
16/02/2023;2056
15/02/2023;1997
14/02/2023;1968
13/02/2023;1966
10/02/2023;1962
09/02/2023;1928
08/02/2023;1912
07/02/2023;1907
06/02/2023;1912
03/02/2023;1845
02/02/2023;1795
01/02/2023;1820
31/01/2023;1817
30/01/2023;1806
27/01/2023;1826
26/01/2023;1837
25/01/2023;1834
24/01/2023;1825
23/01/2023;1843
20/01/2023;1876
19/01/2023;1938
18/01/2023;1807
17/01/2023;1881
16/01/2023;1980
13/01/2023;1980
12/01/2023;1994
11/01/2023;1996
10/01/2023;2059
09/01/2023;2079
06/01/2023;2094
05/01/2023;2118
04/01/2023;2089
03/01/2023;2153
02/01/2023;2213
30/12/2022;2213
29/12/2022;2160
28/12/2022;2154
27/12/2022;2154
26/12/2022;2183
23/12/2022;2183
22/12/2022;2097
21/12/2022;2080
20/12/2022;2113
19/12/2022;2159
16/12/2022;2175
15/12/2022;2221
14/12/2022;2242
13/12/2022;2230
12/12/2022;2271
09/12/2022;2343
08/12/2022;2317
07/12/2022;2326
06/12/2022;2386
05/12/2022;2297
02/12/2022;2245
01/12/2022;2207
30/11/2022;2248
29/11/2022;2319
28/11/2022;2384
25/11/2022;2370
24/11/2022;2406
23/11/2022;2409
22/11/2022;2425
21/11/2022;2427
17/11/2022;2383
16/11/2022;2346
15/11/2022;2385
14/11/2022;2427
11/11/2022;2484
10/11/2022;2481
09/11/2022;2536
08/11/2022;2483
07/11/2022;2543
04/11/2022;2566
03/11/2022;2589
02/11/2022;2567
01/11/2022;2568
31/10/2022;2625
28/10/2022;2590
27/10/2022;2589
26/10/2022;2564
25/10/2022;2494
24/10/2022;2519
21/10/2022;2646
20/10/2022;2743
19/10/2022;2813
18/10/2022;2823
17/10/2022;2827
14/10/2022;2800
13/10/2022;2821
12/10/2022;2824
11/10/2022;2826
06/10/2022;2768
05/10/2022;2712
04/10/2022;2683
03/10/2022;2708
30/09/2022;2812
29/09/2022;2754
29/09/2022;2754
28/09/2022;2640
27/09/2022;2691
26/09/2022;2590
23/09/2022;2523
22/09/2022;2439
19/09/2022;2380
16/09/2022;2382
15/09/2022;2334
14/09/2022;2329
13/09/2022;2317
12/09/2022;2304
09/09/2022;2318
08/09/2022;2336
07/09/2022;2350
06/09/2022;2355
05/09/2022;2427
02/09/2022;2427
01/09/2022;2396
31/08/2022;2385
30/08/2022;2407
29/08/2022;2420
26/08/2022;2394
25/08/2022;2320
24/08/2022;2336
23/08/2022;2386
22/08/2022;2438
19/08/2022;2456
18/08/2022;2441
17/08/2022;2422
16/08/2022;2395
15/08/2022;2417
12/08/2022;2467
11/08/2022;2442
10/08/2022;2476
09/08/2022;2468
08/08/2022;2371
05/08/2022;2436
04/08/2022;2458
03/08/2022;2444
02/08/2022;2419
01/08/2022;2403
29/07/2022;2398
