fecha,riesgo_pais,dolar_blue_ARS,base_monetaria_MM_ARS,dolar_bcra_ARS,reservas_MM_USD,brecha_cambiaria_pct,ratio_ARS_USD,log_riesgo_pais,log_dolar_blue_ARS,log_dolar_bcra_ARS
2025-09-29,1115,1430.0,41645,1341.0,41.118,6.64,1012.82,3.0472748673841794,3.155336037465062,3.127428777851599
2025-09-27,1060,1440.0,41205,1332.0,41.2,8.11,1000.12,3.0253058652647704,3.1583624920952498,3.1245042248342823
2025-09-26,1060,1440.0,41205,1332.0,41.2,8.11,1000.12,3.0253058652647704,3.1583624920952498,3.1245042248342823
2025-09-25,973,1410.0,40743,1325.08,39.355,6.41,1035.27,2.988112840268352,3.1492191126553797,3.1222420990348887
2025-09-24,898,1405.0,41247,1343.33,39.032,4.59,1056.75,2.9532763366673045,3.1476763242410986,3.1281827137663085
2025-09-23,1018,1410.0,41199,1354.17,39.177,4.12,1051.61,3.00774777800074,3.1492191126553797,3.1316731882985236
2025-09-22,1089,1475.0,41977,1425.67,39.116,3.46,1073.14,3.037027879755775,3.1687920203141817,3.154019010954437
2025-09-19,1456,1520.0,40711,1474.75,39.264,3.07,1036.85,3.1631613749770184,3.1818435879447726,3.168718404841185
2025-09-18,1456,1510.0,41372,1474.25,39.409,2.42,1049.81,3.1631613749770184,3.1789769472931693,3.1685711364498443
2025-09-17,1246,1490.0,40732,1471.42,39.781,1.26,1023.91,3.095518042323151,3.173186268412274,3.1677366548127783
2025-09-16,1167,1455.0,41348,1464.67,39.879,-0.66,1036.84,3.0670708560453703,3.162862993321926,3.16573978624441
2025-09-15,1231,1455.0,42077,1462.0,39.848,-0.48,1055.94,3.090258052931316,3.162862993321926,3.1649473726218416
2025-09-12,1140,1425.0,40989,1447.17,40.313,-1.53,1016.77,3.0569048513364727,3.153814864344529,3.160519550970676
2025-09-11,1047,1410.0,41149,1427.58,40.365,-1.23,1019.42,3.0199466816788423,3.1492191126553797,3.1546004549809603
2025-09-10,1024,1395.0,41474,1419.92,40.404,-1.76,1026.48,3.010299956639812,3.144574207609616,3.152263876399056
2025-09-09,1070,1385.0,41377,1418.67,40.511,-2.37,1021.38,3.0293837776852097,3.1414497734004674,3.1518813849948946
2025-09-08,1108,1385.0,42234,1422.17,40.551,-2.61,1041.5,3.044539760392411,3.1414497734004674,3.152951513165257
2025-09-05,906,1370.0,41538,1365.42,40.531,0.34,1024.85,2.957128197676813,3.1367205671564067,3.1352662598940273
2025-09-04,901,1365.0,42171,1362.33,40.378,0.2,1044.41,2.954724790979063,3.1351326513767748,3.134282320366501
2025-09-03,893,1350.0,41866,1360.17,40.741,-0.75,1027.61,2.9508514588885464,3.130333768495006,3.1335931917878126
